_id,SL No.,Platform,Bus Route,Starting From,Destination,VIA
31,31,4,240-H,Kempegowda Bus Stand,G HOSAHALLI,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, BYADARAHALLI"
32,32,4,240-R,Kempegowda Bus Stand,MACHOHALLI,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, BYADARAHALLI"
33,33,4,241-B,Kempegowda Bus Stand,KENCHANAPURA,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, KODIGENAHALLI CROSS, KANNALI"
34,34,4,241-CB,Kempegowda Bus Stand,YELE KODIGENAHALLI,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, GOLLARAHATTI"
35,35,4,241-D,Kempegowda Bus Stand,BHARAT NAGAR 2ND STAGE,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, BHARAT NAGAR 3RD STAGE"
36,36,4,241-H,Kempegowda Bus Stand,MAHADESHWARA NAGAR,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE"
37,37,4-A,242-B,Kempegowda Bus Stand,TAVAREKERE,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, KADABAGRE CROSS, CHANNENAHALLI"
38,38,4-A,242-CB,Kempegowda Bus Stand,THUNGANAGAR,"MAGADI ROAD, PRASANNA, A DASARAHALLI, KAMAKSHIPALYA, SUNKADAKATTE, BYADARAHALLI"
39,39,4-A,242-T,Kempegowda Bus Stand,HUNNIGERE,"SUJATHA 6TH BLOCK, PRASANNA, KAMAKSHIPALYA, SUNKADAKATTE, TAVAREKERE, MALLASANDRA, GERALLI"
40,40,4-A,242-X,Kempegowda Bus Stand,DODDERI VILLAGE,"MAGADI ROAD, PRASANNA, A DASARAHALLI, SUNKADAKATTE, TAVAREKERE, HULUVENAHALLI CROSS, CHANDRAPPA CIRCLE, BYALALU"
41,41,4-A,242-Z,Kempegowda Bus Stand,TIPPAGONDANAHALLI,"MAGADI ROAD, PRASANNA, A DASARAHALLI, SUNKADAKATTE, TAVAREKERE, GOLLARAHATTI, MARENAHALLI, CHOLANAYAKANAHALLI TB"
42,42,4-A,242-ZD,Kempegowda Bus Stand,KALLURU,"MAGADI ROAD, PRASANNA, TAVAREKERE, TIPPAGONDANAHALLI, SHANUBHOGANAHALLI"
43,43,4-A,243-D,Kempegowda Bus Stand,TIGALARAPALYA,"MAGADI ROAD, PRASANNA, SUNKADAKATTE, TUNGANAGAR, ANDRAHALLI"
44,44,4-A,243-F,Kempegowda Bus Stand,GIDADAKONENAHALLI,"MAGADI ROAD, PRASANNA, SUNKADAKATTE, EAST WEST COLLEGE"
45,45,4-B,265,Kempegowda Bus Stand,KBS-KBS,"MAGADI ROAD, PRASANNA, KAMAKSHIPALYA, SUNKADAKATTE, HEGGANAHALLI, PEENYA 2ND STAGE, JALAHALLI CROSS, YESHWANTHPUR"
46,46,4-B,265-B,Kempegowda Bus Stand,TIGALARAPALYA,"MAGADI ROAD, PRASANNA, KAMAKSHIPALYA, SUNKADAKATTE, HEGGANAHALLI, PEENYA 2ND STAGE, ANDRAHALLI"
47,47,4-B,265-E,Kempegowda Bus Stand,MATTIHALLI,"MAGADI ROAD, PRASANNA, KAMAKSHIPALYA, SUNKADAKATTE, HEGGANAHALLI, NTTF, JALAHALLI CROSS, MARANAYAKANAHALLI"
48,48,4-B,G-7,Kempegowda Bus Stand,JANAPRIYA TOWNSHIP,"SUJATHA, PRASANNA, SUNKADAKATTE, GOLLARAHATTI, KADABAGERE CROSS"
49,49,5,88,Kempegowda Bus Stand,BASAVESHWARANAGAR,"SUJATHA TALKIES, DHOBIGHAT"
50,50,5,88-A,Kempegowda Bus Stand,"BASAVESHWARANAGAR, SANE GURUVANAHALLI","BHASHYAM CIRCLE, DHOBIGHAT"
51,51,5,96,Kempegowda Bus Stand,BASAVESHWARANAGAR,"MALLESHWARAM CIRCLE, SHANKAR MUTT"
52,52,5,96-A,Kempegowda Bus Stand,BASAVESHWARANAGAR,"SUJATHA TALKIES, INDUSTRIAL TOWN"
53,53,5,96-B,Kempegowda Bus Stand,KAMALANAGARA,"INDUSTRIAL TOWN, BASAVESHWARANAGAR"
54,54,5,96-D,Kempegowda Bus Stand,KAMALANAGARA,"MARIYAPPANA PALYA, SHANKAR MUTT"
55,55,5,96-E,Kempegowda Bus Stand,BEML LAYOUT,"MALLESHWARAM CIRCLE, MODI HOSPITAL"
56,56,5,96-F,Kempegowda Bus Stand,BHEEMAJYOTHINAGAR,"MALLESHWARAM CIRCLE, MARIYAPPANA PALYA"
57,57,5,96-G,Kempegowda Bus Stand,SHANKARNAG BUS STAND,"NAGAPPA BLOCK, NAVARANG TALKIES"
58,58,6,78-A,Kempegowda Bus Stand,ISKON TEMPLE,"SUJATHA, RAJAJINAGAR 1ST BLOCK"
59,59,6,78-E,Kempegowda Bus Stand,YESHWANTHPUR RAILWAY STATION,"SUJATHA, ISKON TEMPLE"
60,60,6,80,Kempegowda Bus Stand,MAHALAKSHMI LAYOUT,"SUJATHA, RAJAJINAGAR 1ST BLOCK"
61,61,6,80-A,Kempegowda Bus Stand,NANDINI LAYOUT,"SUJATHA, MAHALAKSHMI LAYOUT"
62,62,6,80-B,Kempegowda Bus Stand,JAI MARUTHINAGARA CIRCLE,"SUJATHA, RAJAJINAGAR 1ST BLOCK"
63,63,6,80-C,Kempegowda Bus Stand,GORAGUNTE PALYA,"ESI, MAHALAKSMI LAYOUT"
64,64,6,80-D,Kempegowda Bus Stand,JAI MARUTHINAGAR,"SUJATHA, RAJAJINAGAR 1ST BLOCK"
65,65,6,80-E,Kempegowda Bus Stand,KRISHNANANDA NAGAR,"SUJATHA, MAHALAKSHMI LAYOUT"
66,66,6,80-F,Kempegowda Bus Stand,JAI BHUVANESHWARI NAGAR,"SUJATHA, KANTEERAVA STUDIO"
67,67,6-A,80-G,Kempegowda Bus Stand,SWATHANTHRA YODHARA NAGAR,"RAJAJINAGAR 1ST BLOCK, KANTEERAVA STUDIO"
68,68,6-A,80-R,Kempegowda Bus Stand,DR. RAJKUMAR PUNYA BHOOMI,"SUJATHA, MAHALAKSHMI LAYOUT, SHANKARA NAGAR"
69,69,6-A,80-K,Kempegowda Bus Stand,SAKAMMA LAYOUT,"SUJATHA, ESI, MAHALAKSHMI LAYOUT, JAI MARUTHI NAGAR"
70,70,6-A,80-L,Kempegowda Bus Stand,ASRAYA NAGAR,"ESI, MAHALAKSMI LAYOUT, KANTEERAVA NAGAR"
71,71,6-A,89,Kempegowda Bus Stand,KURUBARAHALLI,"SUJATHA, RAJAJINAGAR 1ST BLOCK"
72,72,6-A,89-A,Kempegowda Bus Stand,KAVERI NAGAR,"SUJATHA, SHANKAR MUTT"
73,73,6-A,89-B,Kempegowda Bus Stand,GELEYARA BALAGA,"SUJATHA, RAJAJINAGAR 1ST BLOCK"
74,74,6-A,89-C,Kempegowda Bus Stand,KURUBARAHALLI,"ESI, RAJAJINAGAR 1ST BLOCK"
75,75,6-A,89-D,Kempegowda Bus Stand,"KURUBARAHALLI, JC NAGAR","CENTRAL, HARISHCHANDRAGHAT, MODI HOSPITAL"
76,76,7,89-E,Kempegowda Bus Stand,KAVERI NAGAR,"SUJATHA, BHEEMAJYOTHINAGAR"
77,77,7,89-F,Kempegowda Bus Stand,GELEYARA BALAGA,"SUJATHA, RAJAJINAGAR 1ST BLOCK"
78,78,7,252-F,Kempegowda Bus Stand,PEENYA 2ND STAGE,"SUJATHA, MAHALAKSHMI LAYOUT"
79,79,7,252-H,Kempegowda Bus Stand,RAJEEVGHANDHI NAGAR,"SUJATHA, MAHALAKSHMI LAYOUT"
80,80,7,264,Kempegowda Bus Stand,JALAHALLI CROSS,"ESI, KRISHNANDANAGAR"
81,81,7,267-A,Kempegowda Bus Stand,CHOWDESHWARI NAGAR,"MAHALAKSHMI LAYOUT, SHANKARNAGAR"
82,82,8-A,45-E,Kempegowda Bus Stand,CHANNAMANNAKERE ACHUKATTU,"KR MARKET, KATHRIGUPPE"
83,83,8-A,45-F,Kempegowda Bus Stand,CHANNAMANNAKERE ACHUKATTU,"CHAMARAJAPETE, KATHRIGUPPE"
84,84,8-A,45-G,Kempegowda Bus Stand,AGS LAYOUT,"HOSAKEREHALLI CROSS, ITTAMADAVU"
85,85,8-B,45-H,Kempegowda Bus Stand,RAGHAVENDRA COLONY,"CORPORATION, CHAMARAJAPETE"
86,86,8-B,45-H,Kempegowda Bus Stand,"BHUVANESHWARI NAGAR, MAHALAKSHMI TEMPLE","COTTONPETE, CHAMARAJAPETE, BSK 3RD STAGE"
87,87,8-B,45-K,Kempegowda Bus Stand,DATTATREYA NAGAR,"KR MARKET, GANESHABHAVANA, ITTAMADUGU"
88,88,8-B,45-M,Kempegowda Bus Stand,CHANNAMMANAKERE ACHUKATTU,"KR MARKET, VIVEKANANDA NAGAR"
89,89,8-B,49,Kempegowda Bus Stand,RAGHAVENDRA COLONY,"CORPORATION, CHAMARAJAPETE"
90,90,8-B,49-B,Kempegowda Bus Stand,VITTAL NAGAR,"KR MARKET, CHAMARAJAPETE"
91,91,8-B,210-P,Kempegowda Bus Stand,CHIKKALLASANDRA,"THYAGARAJA NAGAR, PADMANABHA NAGAR"
92,92,8-B,210-W,Kempegowda Bus Stand,KARISHMA HILLS,"CORPORATION, PADMANABHA NAGAR"
93,93,8-B,210-X,Kempegowda Bus Stand,CHANDRA NAGAR,"KR MARKET, MANOTYPE"
94,94,8-B,210-Z,Kempegowda Bus Stand,NAYDU LAYOUT (CHIKKALLASANDRA),"KR MARKET, BANASHANKARI"
95,95,9,210-A,Kempegowda Bus Stand,ISRO LAYOUT,"KR MARKET, KUMARASWAMY LAYOUT"
96,96,9,210-E,Kempegowda Bus Stand,VASANTHAPURA,"TOWN HALL, UTTARAHALLI"
97,97,9,210-I,Kempegowda Bus Stand,CHIKKALLASANDRA,"CORPORATION, BANASHANKRI, BDA COMPLEX"
98,98,9,210-J,Kempegowda Bus Stand,RAMANJENEYA LAYOUT,"CORPORATION, PADMANABHA NAGAR"
99,99,9,210-K,Kempegowda Bus Stand,UTTARAHALLI,"CORPORATION, BANASHANKRI, BDA COMPLEX"
100,100,9,210-KA,Kempegowda Bus Stand,BHARATH CO-OPERATIVE SOCIETY,"KR MARKET, PADMANABHA NAGAR"
101,101,9,210-NA,Kempegowda Bus Stand,POORNAPRAGNA LAYOUT,"PADMANABHA NAGARA, UTTARAHALLI"
102,102,10,36,Kempegowda Bus Stand,SREENAGARA,"CORPORATION, LALBAGH MAIN GATE"
103,103,10,36-A,Kempegowda Bus Stand,AVALAHALLI BDA PARK,"KR MARKET, APEX BANK"
104,104,10,36-B,Kempegowda Bus Stand,GIRINAGARA EXTENSION,"CHAMARAJPETE, APEX BANK"
105,105,10,36-D,Kempegowda Bus Stand,MUNESHWARA BLOCK,"KR MARKET, APEX BANK"
106,106,10,36-E,Kempegowda Bus Stand,GIRINAGARA,"CORPORATION, APEX BANK"
107,107,10,36-F,Kempegowda Bus Stand,KALIDASA LAYOUT,"KR MARKET, SREENAGARA"
108,108,10,36-H,Kempegowda Bus Stand,GIRINAGARA,"CHAMARAJPETE, APEX BANK"
109,109,10,36-G,Kempegowda Bus Stand,AVALAHALLI NEW BDA LAYOUT,"KR MARKET, NAGENDRA BLOCK"
110,110,10,10,Kempegowda Bus Stand,AVALAHALLI BDA PARK,"CHAMARAJAPETE, ASHRAMA"
111,111,11,2,Kempegowda Bus Stand,JP NAGARA 6TH PHASE,"LALBAGH MAIN GATE, JAYNAGAR 4TH BLOCK"
112,112,11,2-A,Kempegowda Bus Stand,JP NAGARA 1ST PHASE,"CORPORATION, JAYNAGAR 4TH BLOCK"
113,113,11,2-E,Kempegowda Bus Stand,JP NAGAR 6TH PHASE,"LALBAGH MAIN GATE, JAYNAGAR 4TH BLOCK"
114,114,11,2-G,Kempegowda Bus Stand,JP NAGARA 3RD PHASE,"CORPORATION, JAYNAGAR 4TH BLOCK"
115,115,11-A,210-R,Kempegowda Bus Stand,VASANTHAPURA,"MONOTYPE, ISRO LAYOUT"
116,116,11-A,210-U,Kempegowda Bus Stand,KUMARSWAMY LAYOUT,"KR MARKET, MONOTYPE"
117,117,11-A,211-B,Kempegowda Bus Stand,SOMANAHALLI,"BANASHANKARI, KAGGALIPURA"
118,118,11-A,211-F,Kempegowda Bus Stand,KAGGALIPURA,"BANASHANKARI, KONANKUNTE CROSS"
119,119,11-A,211-L,Kempegowda Bus Stand,BCC LAYOUT (RAGUVANAHALLI),"KR MARKET, CORPORATION"
120,120,11-A,212-B,Kempegowda Bus Stand,MUNESHWARANAGAR,"CORPORATION, BANASHANKRI"
121,121,11-A,212-D,Kempegowda Bus Stand,AGARA,"CORPORATION, TALAGHATTAPURA"
122,122,11-A,213-Z,Kempegowda Bus Stand,HAROHALLI,"KR MARKET, UDAYANAPALYA"
123,123,11-B,215-R,Kempegowda Bus Stand,ESHAWARA LAYOUT,"VIJAYA COLLEGE, PUTTENAHALLI"
124,124,11-B,215-G,Kempegowda Bus Stand,SHRINIDHI LAYOUT (KOTTANUR),"KR MARKET, KONANAKUNTE CROSS"
125,125,11-B,215-H,Kempegowda Bus Stand,JAMBUSAVARI DINNE,"VIJAYA COLLEGE, KOTTANURU DINNE"
126,126,11-B,215-I,Kempegowda Bus Stand,PUNJAB NATIONAL BANK LAYOUT,"CORPORATION, JARAGANAHALLI"
127,127,11-B,215-J,Kempegowda Bus Stand,KOTTANURU,"VIJAYA COLLEGE, CHANCHAGHATTA"
128,128,11-B,215-M,Kempegowda Bus Stand,VINAYAKANAGAR,"CORPORATION, JAYNAGAR 5TH BLOCK"
129,129,11-B,215-N,Kempegowda Bus Stand,ANJANAPURA,"KR MARKET, SOUTH END CIRCLE"
130,130,11-B,215-NA,Kempegowda Bus Stand,AMRUTHANAGAR,MAHILA SEVA SAMAJA ANJANAPURA
131,131,12,12,Kempegowda Bus Stand,BANASHANKARI,"LALBAGH MAIN GATE, VIJAYA COLLEGE"
132,132,12,12-A,Kempegowda Bus Stand,BANASHANKARI 2ND STAGE,"CORPORATION, VIJAYA COLLEGE"
133,133,12,12-B,Kempegowda Bus Stand,PADMANABHA NAGAR,"LALBAGH MAIN GATE, BANASHANKARI 2ND STAGE"
134,134,12,12-C,Kempegowda Bus Stand,PADMANABHA NAGAR,"CORPORATION, VIJAYA COLLEGE, TATA SILK FARM"
135,135,12,12-D,Kempegowda Bus Stand,KADIRENAHALLI PARK,"CORPORATION, VIJAYA COLLEGE"
136,136,12,12-E,Kempegowda Bus Stand,BANASHANKARI,"CORPORATION, SOUTHEND CIRCLE"
137,137,12,12-F,Kempegowda Bus Stand,CHIKKALLASANDRA,"LALBAGH MAIN GATE, MANOTYPE"
138,138,12,15-C,Kempegowda Bus Stand,KUMARSWAMY LAYOUT,"CORPORATION, VIJAYA COLLEGE, TATA SILK FARM"
139,139,12,15-E,Kempegowda Bus Stand,KUMARSWAMY LAYOUT,"KR MARKET, MANOTYPE"
140,140,12-A,15-G,Kempegowda Bus Stand,KUMARSWAMY LAYOUT 2ND STAGE,"TOWN HALL, MANOTYPE"
141,141,12-A,15-H,Kempegowda Bus Stand,JHB COLONY,"CORPORATION, KADIRENAHALLI CROSS"
142,142,12-A,15-J,Kempegowda Bus Stand,BANASHANKARI 2ND STAGE,"KR MARKET, MANOTYPE"
143,143,12-A,15-L,Kempegowda Bus Stand,MINAJ NAGAR,"KR MARKET, KADIRENAHALLI CROSS"
144,144,13-A,25-F,Kempegowda Bus Stand,BTM LAYOUT,"CORPORATION, VIJAYA COLLEGE"
145,145,13-A,25-G,Kempegowda Bus Stand,BTM LAYOUT,"CORPORATION, VIJAYA COLLEGE"
146,146,13-A,25-H,Kempegowda Bus Stand,KUVEMPUNAGAR,"CORPORATION, LALBAGH"
147,147,13-A,25-K,Kempegowda Bus Stand,"JP NAGAR 4TH STAGE, DOLLAR'S COLONY","MAHARANI COLLEGE, JAYNAGAR 4TH BLOCK"
148,148,13-A,25-N,Kempegowda Bus Stand,BTM 7TH MAIN ROAD,"CORPORATION, ASHOKA PILLAR, JAYNAGAR 4TH BLOCK EAST"
149,149,13-A,25-J,Kempegowda Bus Stand,KUVEMPUNAGAR,"CORPORATION, ASHOKA PILLAR"
150,150,13-A,364-A,Kempegowda Bus Stand,MICO SHRAMAJEEVI COLONY,"CORPORATION, SOUTHEND CIRCLE, BILEKALLI"
151,151,13-A,364-B,Kempegowda Bus Stand,DEVARACHIKKANAHALLI,"CORPORATION, SOUTHEND CIRCLE, VIJAYA BANK COLONY"
152,152,13-A,364-C,Kempegowda Bus Stand,VIJAYA BANK COLONY,"CORPORATION, SOUTHEND CIRCLE"
153,153,13-B,364-F,Kempegowda Bus Stand,NARAYANAPPANA HALLI,"SHANTINAGAR, JAYADEVA HOSPITAL"
154,154,13-B,364-G,Kempegowda Bus Stand,KODICHIKKANA HALLI,"CORPORATION, JAYADEVA HOSPITAL"
155,155,14-A,165-G,Kempegowda Bus Stand,KORAMANGALA 8TH BLOCK,"CORPORATION, WILSON GARDEN"
156,156,14-A,168-D,Kempegowda Bus Stand,TAVAREKERE,"CORPORATION, NIMHANS"
157,157,14-A,168-E,Kempegowda Bus Stand,JAI BHEEMANAGARA,"CORPORATION, NIMHANS"
158,158,14-A,168-F,Kempegowda Bus Stand,OLD GURAPPANAPALYA,"SHANTHINAGAR, NIMHANS"
159,159,14-A,171,Kempegowda Bus Stand,KORAMANGALA,"CORPORATION, BANGALORE DAIRY"
160,160,14-A,171-B,Kempegowda Bus Stand,KORAMANGALA 8TH BLOCK,"SHANTHINAGAR, WILSON GARDEN"
161,161,14-A,171-C,Kempegowda Bus Stand,KORAMANGALA KENDRIYA SADANA,"NIMHANS, BANGLORE DAIRY"
162,162,14-A,171-D,Kempegowda Bus Stand,VENKATAPURA,"CORPORATION, BANGALORE DAIRY"
163,163,14-B,171-F,Kempegowda Bus Stand,KORAMANGALA HOUSING COMPANY,"SHANTI NAGAR, BANGLORE DAIRY"
164,164,14-B,171-G,Kempegowda Bus Stand,KORAMANGALA,"CORPORATION, HOSUR ROAD, KALYANA MANTAPA"
165,165,14-B,171-H,Kempegowda Bus Stand,KORAMANGALA HOUSING COMPANY,"CORPORATION, DAIRY, AUDUGODI"
166,166,14-B,171-J,Kempegowda Bus Stand,KORAMANGALA,"BANGLORE DAIRY, KRM, KALYANA MANTAPA"
167,167,14-B,171-PP,Kempegowda Bus Stand,KORAMNAGALA,"CORPORATION, DAIRY, AUDUGODI"
168,168,15-D,353-C,Kempegowda Bus Stand,JIGANI,"MADIVALA, RAJAPURA"
169,169,15-D,354-C,Kempegowda Bus Stand,MARASUR,"MADIVALA, KOODLU GATE, IGLURU"
170,170,15-D,355-A,Kempegowda Bus Stand,SREERAMPURA,"HEBBAGODI, MARADEVANHALLI"
171,171,15-D,355-C,Kempegowda Bus Stand,JIGANI,"KOODLU GATE, TEMPLE CROSS"
172,172,15-D,355-Q,Kempegowda Bus Stand,DYAVASANDRA,"MADIVALA, KONAPPANA AGRAHARA"
173,173,15-D,356,Kempegowda Bus Stand,CHANDAPURA,"SINGASANDRA, BTL COLLEGE"
174,174,15-D,356-A,Kempegowda Bus Stand,TATTANAHALLI,"KOODLU GATE, BYRADEVAHALLI"
175,175,15-D,356-C,Kempegowda Bus Stand,ELECTRONIC CITY,"SINGASANDRA, KONAPPANA AGRAHARA"
176,176,15-D,356-D,Kempegowda Bus Stand,SAMPUGENAGAR,"MADIVALA, HUSKURU GATE"
177,177,17-D,335-A,Kempegowda Bus Stand,SATHYA SAI HOSPITAL,"MILITARY HOSPITAL, MARATHAHALLI"
178,178,17-D,335-F,Kempegowda Bus Stand,LAL BAHADUR SHASTRI NAGAR,"MAYOHALL, HAL MAIN GATE"
179,179,17-D,336-B,Kempegowda Bus Stand,KEMPAPURA,"DOMLURU, YAMALURU"
180,180,17-D,381,Kempegowda Bus Stand,THIMMASANDRA,"HALASURU, HALAPPANAHALLI"
181,181,18,131,Kempegowda Bus Stand,DOOPANAHALLI,"CORPORATION, ULSOOR"
182,182,18,131-B,Kempegowda Bus Stand,OLD BYAPPANAHALLI,"MAYOHALL, ULSOOR"
183,183,18,131-C,Kempegowda Bus Stand,DOMLURU,"ULSOOR, DOOPANAHALLI"
184,184,18,314-H,Kempegowda Bus Stand,DOMLURU,MALLESHPALYA
185,185,18,314-D,Kempegowda Bus Stand,"INDIRANAGAR, ESI HOSPITAL",VIGNANANAGAR
186,186,18,314-B,Kempegowda Bus Stand,JEEVANABHIMA NAGAR,C.V. RAMAN NAGAR
187,187,18,138-D,Kempegowda Bus Stand,JEEVANABHIMA NAGAR,"K.R. CIRCLE, ULSOOR"
188,188,18-A,314-B,Kempegowda Bus Stand,C.V. RAMAN NAGAR,"HALASURU, NAGAVARAPALYA"
189,189,18-A,314-D,Kempegowda Bus Stand,288 VIGNYANA NAGAR,"MAYOHALL, MALLESHPALYA"
190,190,18-A,314-E,Kempegowda Bus Stand,D.R.D.O. TOWNSHIP,"HALASURU, KAGGADASAPURA"
191,191,18-A,314-G,Kempegowda Bus Stand,BYRASANDRA,"MEYOHALLI, BEML GATE"
192,192,18-A,314-H,Kempegowda Bus Stand,MALLESH PALYA,"CORPORATION, THIPPASANDRA CROSS"
193,193,18-A,314-T,Kempegowda Bus Stand,BASAVANAGAR,"HALASURU, MALLESH PALYA"
194,194,18-A,314-X,Kempegowda Bus Stand,ABBAIAREDDY LAYOUT,"HALASURU, VIGNANANAGAR"
195,195,18-A,314-Z,Kempegowda Bus Stand,JAGADISHANAGAR,"HALASURU, BEML GATE"
196,196,19,126,Kempegowda Bus Stand,JEEVANAHALLI,"INDIAN EXPRESS, COLES PARK"
