_id,SL No.,Platform,Bus Route,Starting From,Destination,VIA
406,406,28-B,HK-12,Kempegowda Bus Stand,HOSAKOTE,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE"
407,407,29,319-F,Kempegowda Bus Stand,BATTANDURU AGRAHARA,"HALASURU, GARUDACHAR PALYA, HOODI, AGRAHARA"
408,408,29,319-J,Kempegowda Bus Stand,AMBEDKAR NAGAR,"HALASURU, GARUDACHAR PALYA, HOODI, BA AGRAHARA"
409,409,29,320-A,Kempegowda Bus Stand,NAGONDANAHALLI,"HALASURU, GARUDACHAR PALYA, HOODI, IMMADIHALLI"
410,410,29,321-J,Kempegowda Bus Stand,MUTTUKURU,"HALASURU, GARUDACHAR PALYA, HOODI, NAGANAYAKANAKOTE"
411,411,29,322-A,Kempegowda Bus Stand,THATHANUR,"HALASURU, CHANNASANDRA, MATKAGURU, MUTHUGADAHALLI"
412,412,29-A,323-AK,Kempegowda Bus Stand,GONIGHATTAPURA,"MARATHAHALLI, VARTHUR, RAMAGONDANAHALLI"
413,413,29-A,232-F,Kempegowda Bus Stand,NERIGE,"MARATHAHALLI, VARTHUR, GUNJURU"
414,414,29-A,325-A,Kempegowda Bus Stand,HAROHALLI,"MARATHAHALLI, SIDDAPURA, VARTHUR"
415,415,29-A,327-A,Kempegowda Bus Stand,DOMMASANDRA,"MARATHAHALLI, VARTHUR, GUNJURU"
416,416,29-A,327-G,Kempegowda Bus Stand,KUGUR,"MARATHAHALLI, SIDDAPURA, VARTHUR, NERIGE"
417,417,29-A,327-K,Kempegowda Bus Stand,SARJAPURA,"MARATHAHALLI, KADUBISANAHALLI, KANNALI, KODATIGET, HEMARE"
418,418,29-A,328-E,Kempegowda Bus Stand,VARTHUR,"MARATHAHALLI, SIDDAPURA, KODI"
419,419,29-A,328-M,Kempegowda Bus Stand,MADHURA NAGAR,"MARATHAHALLI, SIDDAPURA, VARTHUR"
420,420,29-B,334-C,Kempegowda Bus Stand,NAGASANDRA,"DOMLURU, N.A.L., GOLF CLUB"
421,421,29-B,334-D,Kempegowda Bus Stand,VARTHUR,"DOMLURU, HAL, MARATHAHALLI, KODI"
422,422,29-B,335-AA,Kempegowda Bus Stand,WHITEFIELD TTMC,"MARATHAHALLI, KUNDALAHALLI, GRAPHIT INDIA"
423,423,29-B,335-N,Kempegowda Bus Stand,KADUGODI,"DOMLURU, HAL, MARATHAHALLI, ITPL, HOPE FARM"
424,424,29-B,335-F,Kempegowda Bus Stand,LAL BAHADUR SHASTRI NAGAR,"DOMLURU, HAL"
425,425,29-B,336-B,Kempegowda Bus Stand,KEMPAPURA,"DOMLURU, HAL, YAMALURU"
426,426,29-B,KBS-1I,Kempegowda Bus Stand,KADUGODI,"DOMLURU, HAL, MARATHAHALLI, ITPL, VAIDEHI"
427,427,29-B,KBS-1K,Kempegowda Bus Stand,KADUGODI,"DOMLUR, MARATHAHALLI, SIDDAPURA, KODI, WHITEFIELD"
